order_item_id,order_id,product_id,quantity,unit_price,unit_price_after_discount,line_total,discount_percent,commission_amount,maintenance_amount,shipping_fee_item,estimated_delivery_start,estimated_delivery_end,item_status,is_campaign,product_campaign_id
1,1,P002264,1,6823.94,6025.54,6025.54,11.7,482.04,0,200,12/12/2025,12/14/2025 0:00,Completed,1,
2,2,P003102,1,7955.43,7955.43,7955.43,0,636.43,0,150,4/6/2023,4/8/2023 0:00,Cancelled,0,
3,3,P002758,1,34.34,34.34,34.34,0,1.03,0,50,9/21/2024,9/23/2024 0:00,Completed,0,
4,4,P001537,1,14647.17,14647.17,14647.17,0,1171.77,0,150,11/21/2024,11/22/2024 0:00,Cancelled,0,
5,5,P004583,2,127.13,127.13,254.26,0,7.63,5.09,50,6/9/2025,6/11/2025 0:00,Completed,0,
6,5,P002720,1,10314.23,10314.23,10314.23,0,825.14,0,150,6/10/2025,6/12/2025 0:00,Cancelled,0,
7,6,P002039,1,51.15,51.15,51.15,0,1.53,0,70,8/31/2025,9/2/2025 0:00,Completed,0,
8,6,P001861,1,3395.32,3395.32,3395.32,0,271.63,0,150,9/1/2025,9/2/2025 0:00,Completed,0,
9,7,P002491,4,9985.11,9985.11,39940.42,0,3195.23,0,150,1/20/2024,1/22/2024 0:00,Cancelled,0,
10,8,P002502,2,5467.21,5467.21,10934.42,0,874.75,0,200,11/25/2025,11/27/2025 0:00,Completed,0,
11,9,P000099,1,250.78,250.78,250.78,0,7.52,0,30,8/16/2024,8/18/2024 0:00,Cancelled,0,
12,10,P000762,1,161.99,161.99,161.99,0,4.86,0,70,9/21/2024,9/23/2024 0:00,Completed,0,
13,11,P001481,1,13898.14,13898.14,13898.14,0,1111.85,0,200,12/15/2025,12/17/2025 0:00,Completed,0,
14,12,P001293,2,19721.24,19721.24,39442.47,0,1972.12,0,100,6/6/2023,6/7/2023 0:00,Cancelled,0,
15,13,P002560,2,13477.6,11792.9,23585.8,12.5,1179.29,0,100,9/9/2022,9/11/2022 0:00,Completed,1,
16,13,P001039,2,2237.08,2096.14,4192.28,6.3,335.38,0,50,9/10/2022,9/12/2022 0:00,Completed,1,
17,14,P004129,4,12763.56,12763.56,51054.23,0,4084.34,255.27,150,12/29/2025,12/31/2025 0:00,Cancelled,0,
18,14,P000926,1,7523.14,7523.14,7523.14,0,601.85,0,200,12/30/2025,12/31/2025 0:00,Completed,0,
19,15,P003295,1,464.53,464.53,464.53,0,55.74,0,20,5/25/2025,5/26/2025 0:00,Completed,0,
20,16,P004219,1,54.22,54.22,54.22,0,1.63,0.27,70,12/28/2025,12/30/2025 0:00,Completed,0,
21,16,P000743,1,59.7,59.7,59.7,0,1.79,0,50,12/29/2025,12/31/2025 0:00,Cancelled,0,
22,17,P002798,1,114.37,114.37,114.37,0,3.43,0,50,12/22/2024,12/24/2024 0:00,Cancelled,0,
23,17,P003135,1,1176.05,1176.05,1176.05,0,94.08,0,50,12/23/2024,12/25/2024 0:00,Completed,0,
24,18,P001696,1,8845.8,8845.8,8845.8,0,707.66,0,150,1/16/2023,1/18/2023 0:00,Completed,0,
