order_id,order_date,customer_id,order_day,year_month,subtotal_amount,shipping_fee_total,commission_total,maintenance_total,total_amount,campaign_id
203212,10/31/2024,C035263,10/31/2024,2024-10,9440.49,150,755.24,0,9590.49,
11705,12/12/2025,C034075,12/12/2025,2025-12,698.71,20,83.85,3.49,718.71,
209724,7/5/2024,C008676,7/5/2024,2024-07,21633.06,320,1744.82,29.82,21953.06,
43089,9/8/2025,C035010,9/8/2025,2025-09,551.05,50,16.53,0,601.05,
112585,12/30/2025,C005851,12/30/2025,2025-12,75268.99,30,3763.45,0,75298.99,
134556,8/10/2024,C027394,8/10/2024,2024-08,49025,370,3244.14,0,49395,
251651,10/10/2025,C048610,10/10/2025,2025-10,88129.3,200,4791.63,64.19,88329.3,C018
201558,10/24/2024,C028608,10/24/2024,2024-10,5676.22,50,283.81,0,5726.22,
20133,9/22/2024,C032845,9/22/2024,2024-09,545.97,50,43.68,0,595.97,
113200,2/29/2024,C007016,2/29/2024,2024-02,1770.43,120,127.72,0,1890.43,
122724,2/8/2024,C017694,2/8/2024,2024-02,11574.59,200,925.97,0,11774.59,
197423,12/16/2025,C007317,12/16/2025,2025-12,14643.03,320,1168.72,6.16,14963.03,
17972,10/7/2024,C028422,10/7/2024,2024-10,1457.73,80,102.14,5.79,1537.73,
65502,9/17/2025,C041087,9/17/2025,2025-09,160.75,70,4.82,0,230.75,
22709,1/24/2023,C004179,1/24/2023,2023-01,25330.61,250,1504.79,0,25580.61,
157059,10/17/2023,C022303,10/17/2023,2023-10,183.24,70,5.5,0.92,253.24,
153138,10/12/2025,C020947,10/12/2025,2025-10,47925.42,300,2596.84,204.78,48225.42,
220328,12/25/2025,C034209,12/25/2025,2025-12,7107.07,170,556,0,7277.07,
160446,12/25/2023,C006578,12/25/2023,2023-12,9294.09,100,464.7,0,9394.09,
292219,12/9/2025,C015636,12/9/2025,2025-12,690.8,70,55.26,3.45,760.8,
61635,5/5/2025,C016582,5/5/2025,2025-05,182.61,20,21.91,0,202.61,
285175,3/6/2025,C003608,3/6/2025,2025-03,16399.38,350,1311.95,34.17,16749.38,
142068,2/21/2025,C034431,2/21/2025,2025-02,2801.2,100,224.1,0,2901.2,
171910,11/3/2025,C032154,11/3/2025,2025-11,12047.47,200,963.8,0,12247.47,
131948,9/27/2025,C005039,9/27/2025,2025-09,402.47,70,12.07,0,472.47,
148942,11/17/2024,C010897,11/17/2024,2024-11,27527.73,270,2193.65,0,27797.73,
57596,11/13/2024,C005368,11/13/2024,2024-11,8778.72,200,702.3,43.89,8978.72,
169775,12/14/2025,C026412,12/14/2025,2025-12,66.58,30,2,0,96.58,
287019,8/5/2025,C031799,8/5/2025,2025-08,54.96,70,1.65,0.27,124.96,
130645,12/25/2025,C039764,12/25/2025,2025-12,14964.29,200,1197.14,74.82,15164.29,
83647,4/27/2025,C017338,4/27/2025,2025-04,336.77,50,10.1,0,386.77,
259439,12/18/2025,C054375,12/18/2025,2025-12,9584.07,200,766.73,0,9784.07,
293232,12/30/2024,C034791,12/30/2024,2024-12,21647.19,250,1455.56,0,21897.19,
184883,10/10/2024,C013705,10/10/2024,2024-10,640.61,50,51.25,0,690.61,
97761,9/26/2024,C002290,9/26/2024,2024-09,11037.27,100,882.98,55.19,11137.27,
229818,10/10/2025,C011842,10/10/2025,2025-10,6445.34,100,515.63,32.23,6545.34,
99736,12/20/2025,C049196,12/20/2025,2025-12,37727.39,50,1886.37,0,37777.39,
275512,9/6/2024,C001675,9/6/2024,2024-09,17986.93,240,1509.15,0,18226.93,
292349,8/13/2022,C006687,8/13/2022,2022-08,48514.52,350,3881.16,214,48864.52,
233920,5/28/2025,C036566,5/28/2025,2025-05,9871.27,340,782.58,1.79,10211.27,
141619,9/19/2022,C003725,9/19/2022,2022-09,37914.42,150,1889.27,0,38064.42,
256570,5/30/2024,C001933,5/30/2024,2024-05,72.7,50,2.18,0,122.7,
61974,3/27/2025,C037582,3/27/2025,2025-03,21647.21,200,1731.78,0,21847.21,
40079,3/28/2025,C035808,3/28/2025,2025-03,2032.19,20,101.61,0,2052.19,
198470,9/13/2025,C014012,9/13/2025,2025-09,1092.51,20,131.1,0,1112.51,
201470,12/4/2024,C022141,12/4/2024,2024-12,125.8,70,3.77,0,195.8,
147697,10/24/2025,C037872,10/24/2025,2025-10,86.64,70,2.6,0,156.64,
