activity_id,session_id,page_url,session_start_time,session_end_time
1,1,/home,1/5/2022 3:01,1/5/2022 3:04
2,1,/products,1/5/2022 3:04,1/5/2022 3:07
3,1,/products,1/5/2022 3:07,1/5/2022 3:09
4,1,/cart,1/5/2022 3:09,1/5/2022 3:11
5,1,/checkout,1/5/2022 3:11,1/5/2022 3:12
6,1,/billing,1/5/2022 3:12,1/5/2022 3:13
7,1,/thank-you-for-your-order,1/5/2022 3:13,1/5/2022 3:17
8,2,/home,1/5/2022 0:05,1/5/2022 0:07
9,2,/products,1/5/2022 0:07,1/5/2022 0:12
10,2,/cart,1/5/2022 0:12,1/5/2022 0:13
11,2,/checkout,1/5/2022 0:13,1/5/2022 0:15
12,2,/billing,1/5/2022 0:15,1/5/2022 0:19
13,2,/thank-you-for-your-order,1/5/2022 0:19,1/5/2022 0:21
14,3,/home,1/7/2022 18:17,1/7/2022 18:18
15,3,/products,1/7/2022 18:18,1/7/2022 18:20
16,3,/products,1/7/2022 18:20,1/7/2022 18:24
17,3,/products,1/7/2022 18:24,1/7/2022 18:27
18,3,/products,1/7/2022 18:27,1/7/2022 18:30
19,3,/cart,1/7/2022 18:30,1/7/2022 18:32
20,3,/checkout,1/7/2022 18:32,1/7/2022 18:34
21,3,/billing,1/7/2022 18:34,1/7/2022 18:38
22,3,/thank-you-for-your-order,1/7/2022 18:38,1/7/2022 18:39
23,4,/home,1/7/2022 12:06,1/7/2022 12:09
24,4,/products,1/7/2022 12:09,1/7/2022 12:12
25,4,/cart,1/7/2022 12:12,1/7/2022 12:13
26,4,/checkout,1/7/2022 12:13,1/7/2022 12:17
27,4,/billing,1/7/2022 12:17,1/7/2022 12:19
28,4,/thank-you-for-your-order,1/7/2022 12:19,1/7/2022 12:23
29,5,/home,1/8/2022 17:18,1/8/2022 17:22
30,5,/products,1/8/2022 17:22,1/8/2022 17:24
31,5,/cart,1/8/2022 17:24,1/8/2022 17:25
32,5,/checkout,1/8/2022 17:25,1/8/2022 17:26
33,5,/billing,1/8/2022 17:26,1/8/2022 17:29
34,5,/thank-you-for-your-order,1/8/2022 17:29,1/8/2022 17:31
35,6,/home,1/8/2022 7:55,1/8/2022 7:58
36,6,/products,1/8/2022 7:58,1/8/2022 8:01
37,6,/products,1/8/2022 8:01,1/8/2022 8:06
38,6,/cart,1/8/2022 8:06,1/8/2022 8:09
39,6,/checkout,1/8/2022 8:09,1/8/2022 8:11
40,6,/billing,1/8/2022 8:11,1/8/2022 8:15
41,6,/thank-you-for-your-order,1/8/2022 8:15,1/8/2022 8:18
42,7,/home,1/8/2022 21:17,1/8/2022 21:18
43,7,/products,1/8/2022 21:18,1/8/2022 21:20
44,7,/cart,1/8/2022 21:20,1/8/2022 21:23
45,7,/checkout,1/8/2022 21:23,1/8/2022 21:25
