session_id,user_id,session_date,session_start_time,session_end_time,utm_source,campaign_id,device_type,order_id
441849,C030523,1/1/2022,1/1/2022 0:03,1/1/2022 0:15,,,Mobile,
400356,C038700,1/1/2022,1/1/2022 0:10,1/1/2022 0:15,,,Desktop,
357001,C041589,1/1/2022,1/1/2022 0:14,1/1/2022 0:25,,,Mobile,
307417,C021380,1/1/2022,1/1/2022 0:19,1/1/2022 0:30,,,Desktop,
427038,C034947,1/1/2022,1/1/2022 0:19,1/1/2022 0:32,,,Tablet,
341944,C021329,1/1/2022,1/1/2022 0:29,1/1/2022 0:41,,,Tablet,
329103,C002255,1/1/2022,1/1/2022 0:51,1/1/2022 1:01,,,Desktop,
430689,C018339,1/1/2022,1/1/2022 1:13,1/1/2022 1:20,,,Tablet,
431904,C015909,1/1/2022,1/1/2022 1:15,1/1/2022 1:18,,,Mobile,
352100,C028406,1/1/2022,1/1/2022 1:16,1/1/2022 1:28,,,Tablet,
369520,C041738,1/1/2022,1/1/2022 1:18,1/1/2022 1:32,,,Desktop,
399308,C029383,1/1/2022,1/1/2022 1:29,1/1/2022 1:41,,,Tablet,
392097,C000443,1/1/2022,1/1/2022 1:32,1/1/2022 1:44,,,Mobile,
426454,C021094,1/1/2022,1/1/2022 1:33,1/1/2022 1:41,,,Desktop,
416989,C012091,1/1/2022,1/1/2022 1:45,1/1/2022 1:50,,,Mobile,
469004,C028494,1/1/2022,1/1/2022 2:04,1/1/2022 2:10,,,Desktop,
414553,C005080,1/1/2022,1/1/2022 2:24,1/1/2022 2:36,,,Desktop,
487670,C004650,1/1/2022,1/1/2022 2:28,1/1/2022 2:38,,,Desktop,
434726,C044517,1/1/2022,1/1/2022 2:30,1/1/2022 2:32,,,Desktop,
462888,C019722,1/1/2022,1/1/2022 2:54,1/1/2022 3:03,,,Mobile,
388056,C032847,1/1/2022,1/1/2022 2:54,1/1/2022 3:04,,,Desktop,
414156,C016584,1/1/2022,1/1/2022 2:55,1/1/2022 3:06,,,Mobile,
330908,C010471,1/1/2022,1/1/2022 2:58,1/1/2022 3:13,,,Mobile,
305966,C040605,1/1/2022,1/1/2022 3:17,1/1/2022 3:22,,,Tablet,
422081,C016643,1/1/2022,1/1/2022 3:30,1/1/2022 3:43,,,Mobile,
446533,C002504,1/1/2022,1/1/2022 3:41,1/1/2022 3:53,,,Tablet,
337186,C029726,1/1/2022,1/1/2022 3:50,1/1/2022 4:01,,,Mobile,
344051,C015708,1/1/2022,1/1/2022 3:57,1/1/2022 4:12,,,Desktop,
456405,C019534,1/1/2022,1/1/2022 4:13,1/1/2022 4:15,,,Desktop,
492547,C000891,1/1/2022,1/1/2022 4:50,1/1/2022 4:56,,,Desktop,
463355,C023762,1/1/2022,1/1/2022 4:52,1/1/2022 5:03,,,Mobile,
377384,C012865,1/1/2022,1/1/2022 5:25,1/1/2022 5:38,,,Tablet,
431305,C023550,1/1/2022,1/1/2022 5:39,1/1/2022 5:49,,,Desktop,
491221,C030093,1/1/2022,1/1/2022 6:15,1/1/2022 6:23,,,Mobile,
352183,C035810,1/1/2022,1/1/2022 6:23,1/1/2022 6:29,,,Tablet,
481833,C022719,1/1/2022,1/1/2022 6:28,1/1/2022 6:38,,,Desktop,
383044,C034698,1/1/2022,1/1/2022 6:30,1/1/2022 6:37,,,Mobile,
447363,C034837,1/1/2022,1/1/2022 6:32,1/1/2022 6:43,,,Tablet,
439682,C010502,1/1/2022,1/1/2022 6:34,1/1/2022 6:46,,,Mobile,
314262,C008591,1/1/2022,1/1/2022 6:44,1/1/2022 6:55,,,Tablet,
432715,C005083,1/1/2022,1/1/2022 6:45,1/1/2022 6:52,,,Tablet,
408742,C041576,1/1/2022,1/1/2022 7:18,1/1/2022 7:28,,,Mobile,
417210,C044374,1/1/2022,1/1/2022 7:33,1/1/2022 7:43,,,Mobile,
381828,C007078,1/1/2022,1/1/2022 7:46,1/1/2022 8:01,,,Mobile,
427674,C012832,1/1/2022,1/1/2022 7:50,1/1/2022 8:03,,,Tablet,
406008,C004653,1/1/2022,1/1/2022 8:08,1/1/2022 8:20,,,Desktop,
395640,C008087,1/1/2022,1/1/2022 8:21,1/1/2022 8:37,,,Tablet,
498215,C031089,1/1/2022,1/1/2022 8:33,1/1/2022 8:42,,,Tablet,
421086,C008261,1/1/2022,1/1/2022 8:48,1/1/2022 8:59,,,Tablet,
317167,C006710,1/1/2022,1/1/2022 9:07,1/1/2022 9:17,,,Mobile,
449520,C037670,1/1/2022,1/1/2022 9:18,1/1/2022 9:29,,,Tablet,
349577,C020148,1/1/2022,1/1/2022 9:23,1/1/2022 9:33,,,Mobile,
447452,C009532,1/1/2022,1/1/2022 9:27,1/1/2022 9:37,,,Desktop,
329005,C026486,1/1/2022,1/1/2022 9:59,1/1/2022 10:00,,,Tablet,
405568,C042270,1/1/2022,1/1/2022 10:00,1/1/2022 10:09,,,Tablet,
338681,C010187,1/1/2022,1/1/2022 10:14,1/1/2022 10:23,,,Tablet,
362157,C006565,1/1/2022,1/1/2022 10:39,1/1/2022 10:50,,,Desktop,
490157,C032548,1/1/2022,1/1/2022 10:43,1/1/2022 10:51,,,Desktop,
429599,C050330,1/1/2022,1/1/2022 11:08,1/1/2022 11:20,,,Desktop,
342634,C002757,1/1/2022,1/1/2022 11:09,1/1/2022 11:20,,,Desktop,
467278,C014680,1/1/2022,1/1/2022 11:14,1/1/2022 11:24,,,Desktop,
419688,C000348,1/1/2022,1/1/2022 11:25,1/1/2022 11:26,,,Desktop,
382777,C016779,1/1/2022,1/1/2022 11:32,1/1/2022 11:43,,,Desktop,
476167,C003958,1/1/2022,1/1/2022 11:52,1/1/2022 11:53,,,Mobile,
367142,C034528,1/1/2022,1/1/2022 11:57,1/1/2022 12:09,,,Mobile,
477150,C027463,1/1/2022,1/1/2022 12:05,1/1/2022 12:14,,,Mobile,
325378,C016279,1/1/2022,1/1/2022 12:15,1/1/2022 12:24,,,Tablet,
486343,C048293,1/1/2022,1/1/2022 12:21,1/1/2022 12:31,,,Tablet,
469660,C010228,1/1/2022,1/1/2022 12:21,1/1/2022 12:22,,,Desktop,
389625,C007908,1/1/2022,1/1/2022 12:29,1/1/2022 12:34,,,Tablet,
326562,C011358,1/1/2022,1/1/2022 12:45,1/1/2022 13:01,,,Tablet,
423497,C003692,1/1/2022,1/1/2022 12:47,1/1/2022 12:58,,,Desktop,
418862,C022501,1/1/2022,1/1/2022 12:50,1/1/2022 12:55,,,Desktop,
396222,C022331,1/1/2022,1/1/2022 12:51,1/1/2022 12:54,,,Tablet,
369556,C025550,1/1/2022,1/1/2022 13:02,1/1/2022 13:15,,,Desktop,
398595,C015937,1/1/2022,1/1/2022 13:05,1/1/2022 13:06,,,Desktop,
491119,C001619,1/1/2022,1/1/2022 13:05,1/1/2022 13:17,,,Desktop,
468302,C015791,1/1/2022,1/1/2022 13:30,1/1/2022 13:41,,,Desktop,
391304,C029366,1/1/2022,1/1/2022 13:41,1/1/2022 13:44,,,Mobile,
376417,C035578,1/1/2022,1/1/2022 13:51,1/1/2022 13:59,,,Desktop,
480258,C006132,1/1/2022,1/1/2022 13:53,1/1/2022 14:05,,,Desktop,
304433,C004911,1/1/2022,1/1/2022 13:57,1/1/2022 14:09,,,Tablet,
445309,C041023,1/1/2022,1/1/2022 13:58,1/1/2022 14:07,,,Mobile,
351975,C004605,1/1/2022,1/1/2022 14:00,1/1/2022 14:03,,,Tablet,
